TESTEMUNHO,Amostra,Acanthoica spp.,B. bigelowii,C. cristatus,C. cristatus HET,C.telesmus,C. simplex,Ceratolithus spp.,Ceratolithus TOTAL,C. quadriperforatus (>8µm),C. leptoporus G (>5µm),C. leptoporus M (5<x<8),C. leptoporus P (<5µm),Calcididcus spp.,Calcidiscus TOTAL,C. murrayi,C. brasiliensis,Calciosolenia spp.,Calciosolenia TOTAL,C. pel. pelagicus,C. pelagicus braarudii,C. pelagicus,Coccolithus TOTAL,C. binodata,C. mediterranae,Coronosphaera spp.,Coronosphaera TOTAL,D. tubifera,E. huxleyi G,E. huxleyi M,E. huxleyi P,E. huxleyi spp.,E. huxleyi TOTAL,F. profunda,G.oceanica G,G. oceanica M,G. oceanica fechada,G. oceanica INTER,G. oceanica P,G. paralela G,G. paralela M,G.carib G,G. carib M,G. carib aberta,G. carib INTER,G. carib P,G. muellerae,G. ericsonii,G. sinuosa 1,G. sinuosa 2,G. sinuosa spp.,G. sinuosa TOTAL,G. aperta 1,G. aperta 2,G. aperta spp.,G. aperta TOTAL,Geph. spp. G,Geph. spp. M,Geph. spp. P,Gephyrocapsa P,Gephyrocapsa M,Gephyrocapsa G,Gephyrocapsa Total,Hayaster spp.,H. carteri,H. hyalina,H. wallichii,H. inversa,H. pavimentum,H. sellii,Helicosphaera spp.,Helicosphaera TOTAL,H. macroporus,Neosphaera spp,Oolithotus spp.,P. discopora,P.indoceanica,P.syracusana,P. multipora,P. japonica,P.jonesii,P. messinae,Pontosphaera spp.,Pontosphaera TOTAL,P. lacunosa,P. ovata,Pseudoemiliania TOTAL,R. minuta,R. minutula,R. producta,Reticulofenestra spp. (>5µm),Reticulofenestra spp.(<5µm),Reticulofenestra TOTAL,R. clavigera,R. stylifera,Rhabd. spp.,Rhabdosphaera TOTAL,S. recta,S. apsteinii,S. porosa,Scyphosphaera spp.,Scyphosphaera TOTAL,S. hystrica,S. anthos,S. pulchra,S. lamina,Syrac. spp.,Syracosphaera TOTAL,T. quadrilaminata,T. saxea,T. heimii,Thorac. spp.,Thoracosphaera TOTAL,T. saxea (frag.),T. heimii (frag.),U. irregularis,U. tenuis,Umbellosphaera spp.,Umbellosphaera TOTAL,U.sibogae,U. foliosa,U. jafari,U. hulburtiana,Umbilicosphaera spp.,Umbilicosphaera TOTAL,PMP,TOTAL
KF-18,298,0,0,0.23000000000000001,0,0,0,0,0.23000000000000001,0,0.46999999999999997,0,0,0,0.46999999999999997,0,0.69999999999999996,0,0.69999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,12.59,12.59,28.899999999999999,3.0299999999999998,24.48,0,0,3.5,0,0,0,0.23000000000000001,0,0,0.93000000000000005,1.3999999999999999,0.69999999999999996,0,0,0.69999999999999996,0.69999999999999996,0,0,0.93000000000000005,0.93000000000000005,0,2.1000000000000001,2.7999999999999998,9.5600000000000005,28.210000000000001,3.0299999999999998,40.789999999999999,0,0.69999999999999996,0.23000000000000001,0,0,0,0,0.93000000000000005,1.8600000000000001,0,0,0,0,0,0,0,0.23000000000000001,0,0,0,0.23000000000000001,0,0,0,0.69999999999999996,0,0,0,0.46999999999999997,1.1699999999999999,10.960000000000001,0,0,10.960000000000001,0,0,0,0,0,0,0,0.46999999999999997,0,0,0.46999999999999997,0,0,0,0,0,0,0,0,0,0,0,1.3999999999999999,0,0,0,0,1.3999999999999999,0.23000000000000001,100
KF-18,303,0,0,0.40999999999999998,0,0,0,0,0.40999999999999998,0,0.81999999999999995,0,0.20999999999999999,0.20999999999999999,1.23,0,0,0,0,0,0.20999999999999999,0.20999999999999999,0.40999999999999998,0,0,0,0,0,0,0,0,10.49,10.49,34.770000000000003,2.6699999999999999,18.52,0,0,3.29,0,0,0,6.5800000000000001,0,0,8.4399999999999995,0,0.20999999999999999,0,0,0.62,0.62,0,0,1.23,1.23,0,0.81999999999999995,1.8500000000000001,15.640000000000001,25.93,2.6699999999999999,44.240000000000002,0,0.40999999999999998,0,0,0,0.20999999999999999,0,0.20999999999999999,0.81999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6699999999999999,0,0,2.6699999999999999,0,0,0,0,0,0,0,0.20999999999999999,0.20999999999999999,0.40999999999999998,0.81999999999999995,0,0,0,0,0,0,0,0,0,0.20999999999999999,0.20999999999999999,0.40999999999999998,0,0,0,0.62,1.03,2.8799999999999999,100
KF-18,308,0,0,0,0,0,0,0,0,0,0.60999999999999999,0,0.14999999999999999,0,0.77000000000000002,0,0,0,0,0,0.14999999999999999,0.46000000000000002,0.60999999999999999,0,0,0,0,0,0,0,0,10.43,10.43,53.530000000000001,3.6800000000000002,14.57,0,0,0.92000000000000004,0,0,0,0.46000000000000002,0,0,0.14999999999999999,1.53,0.60999999999999999,0,0,0.77000000000000002,0.77000000000000002,0,0,0,0,0.92000000000000004,3.6800000000000002,1.53,3.9900000000000002,20.25,4.5999999999999996,28.829999999999998,0,0.46000000000000002,0,0.14999999999999999,0,0,0,0.31,0.92000000000000004,0,0,0,0,0.14999999999999999,0,0,0,0,0,0,0.14999999999999999,0,0,0,0,0,0.14999999999999999,0,0,0.14999999999999999,1.99,0,0,1.99,0,0,0,0,0,0,0,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0.60999999999999999,0,0,0,0,0.60999999999999999,1.6899999999999999,100
KF-18,313,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.609999999999999,35.609999999999999,28.989999999999998,1.04,9.1099999999999994,0,0,1.45,0,0,0,3.52,0,0,5.3799999999999999,0,0.62,0,0,0.40999999999999998,0.40999999999999998,0,0,1.04,1.04,0,0.62,0.40999999999999998,9.3200000000000003,13.25,1.04,23.600000000000001,0,0.20999999999999999,0,0,0,0,0,1.04,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,2.48,0,0,0,0,0,0,0,0.40999999999999998,0,0.20999999999999999,0.62,0,0,0,0,0,0,0,0,0,0.20999999999999999,0.20999999999999999,0.20999999999999999,0,0,0,0.62,0.82999999999999996,5.7999999999999998,100
KF-18,318,0,0,0,0,0,0,0,0,0,2.25,0,1.4099999999999999,0,3.6600000000000001,0,0.56000000000000005,0,0.56000000000000005,0,0.28000000000000003,0.56000000000000005,0.84999999999999998,0,0,0,0,0,0,0,0,7.6100000000000003,7.6100000000000003,14.93,2.8199999999999998,31.27,0,0,4.79,0,0,0,3.9399999999999999,0,0,6.7599999999999998,0,1.6899999999999999,0,0,0.84999999999999998,0.84999999999999998,0,0,0,0,0,1.1299999999999999,1.97,16.059999999999999,36.340000000000003,2.8199999999999998,55.210000000000001,0,1.1299999999999999,1.6899999999999999,0,0,0,0,1.6899999999999999,4.5099999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7300000000000004,0,0,8.7300000000000004,0,0,0,0,0,0,0,0.84999999999999998,0,0.28000000000000003,1.1299999999999999,0,0,0,0,0,0,0,0,0,0,0,1.1299999999999999,0,0,0,0,1.1299999999999999,1.6899999999999999,100
KF-18,325,0,0,0.34000000000000002,0,0,0.17000000000000001,0,0.51000000000000001,0,0.34000000000000002,0,0.51000000000000001,0,0.84999999999999998,0,0.34000000000000002,0,0.34000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,10.029999999999999,10.029999999999999,47.789999999999999,0.17000000000000001,19.050000000000001,0,0,1.3600000000000001,0,0,0,0.51000000000000001,0,0,1.3600000000000001,0.68000000000000005,0.51000000000000001,0,0,1.1899999999999999,1.1899999999999999,0,0,0.51000000000000001,0.51000000000000001,0.17000000000000001,2.21,1.3600000000000001,6.29,22.449999999999999,0.34000000000000002,29.079999999999998,0,0.84999999999999998,0.34000000000000002,0,0,0.17000000000000001,0,0.17000000000000001,1.53,0,0,0,0,0,0,0,0.17000000000000001,0,0,0,0.17000000000000001,0,0,0,0.51000000000000001,0,0,0,0.51000000000000001,1.02,6.9699999999999998,0,0,6.9699999999999998,0,0,0,0,0,0.17000000000000001,0,0.51000000000000001,0,0,0.68000000000000005,0,0,0,0,0,0,0,0,0.17000000000000001,0,0.17000000000000001,0.17000000000000001,0,0,0.17000000000000001,0,0.34000000000000002,0.51000000000000001,100
KF-18,328,0,0,0.22,0,0,0,0,0.22,0,2.1600000000000001,0,0.65000000000000002,0,2.8100000000000001,0,0,0,0,0,0.22,0,0.22,0,0.22,0,0.22,0,0,0,0,23.109999999999999,23.109999999999999,33.909999999999997,2.1600000000000001,14.470000000000001,0,0,2.3799999999999999,0,0,0,1.51,0,0,4.3200000000000003,0,2.3799999999999999,0,0,0,0,0,0,0.42999999999999999,0.42999999999999999,0,0.42999999999999999,1.3,10.800000000000001,16.41,2.1600000000000001,29.370000000000001,0,0.85999999999999999,0.85999999999999999,0,0,0.22,0,0.22,2.1600000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8900000000000001,0,0,3.8900000000000001,0,0,0,0,0,0,0,1.73,0,0,1.73,0,0,0,0,0,0,0,0.22,0,0,0.22,1.0800000000000001,0,0,0,0,1.0800000000000001,1.0800000000000001,100
KF-18,333,0,0,0,0,0,0,0,0,0,0.46999999999999997,0,0.23000000000000001,0.23000000000000001,0.93999999999999995,0,0.69999999999999996,0,0.69999999999999996,0,0,0.69999999999999996,0.69999999999999996,0,0,0,0,0,0,0,0,4.6799999999999997,4.6799999999999997,25.289999999999999,1.4099999999999999,25.059999999999999,0,0,0.93999999999999995,0,0,0.23000000000000001,11.24,0,0,10.539999999999999,0.46999999999999997,0.93999999999999995,0,0,0.69999999999999996,0.69999999999999996,0,0,0.46999999999999997,0.46999999999999997,0,0.46999999999999997,1.4099999999999999,14.99,37.240000000000002,1.6399999999999999,53.859999999999999,0,0.69999999999999996,0.23000000000000001,0,0,0.23000000000000001,0,1.1699999999999999,2.3399999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1999999999999993,0,0,8.1999999999999993,0,0,0,0,0,0.23000000000000001,0,0,0,0,0.23000000000000001,0,0,0,0,0,0,0,0,0,0,0,0.23000000000000001,0,0,0,0,0.23000000000000001,2.8100000000000001,100
KF-18,338,0,0,0.17999999999999999,0,0,0,0,0.17999999999999999,0,0.88,0,0.17999999999999999,0,1.0600000000000001,0,0.17999999999999999,0,0.17999999999999999,0,0,0.34999999999999998,0.34999999999999998,0,0,0,0,0,0,0,0,6.0099999999999998,6.0099999999999998,46.640000000000001,6.3600000000000003,13.43,0,0,1.0600000000000001,0,0,0,0.88,0,0,1.4099999999999999,1.0600000000000001,1.5900000000000001,0,0,2.4700000000000002,2.4700000000000002,0,0,0.53000000000000003,0.53000000000000003,0.70999999999999996,4.5899999999999999,1.4099999999999999,8.4800000000000004,19.960000000000001,7.0700000000000003,35.509999999999998,0,0.70999999999999996,1.0600000000000001,0,0,0,0,0.70999999999999996,2.4700000000000002,0,0,0.17999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53000000000000003,0,0.17999999999999999,0.70999999999999996,2.1200000000000001,0,0,2.1200000000000001,0,0,0,0,0,0.17999999999999999,0,0.88,0,0,1.0600000000000001,0,0,0,0,0,0,0,0,0,0,0,0.70999999999999996,0,0,0,0,0.70999999999999996,2.8300000000000001,100
KF-18,343,0,0,0,0,0,0,0,0,0,0,0,0.14000000000000001,0,0.14000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6699999999999999,6.6699999999999999,56.229999999999997,0.42999999999999999,16.809999999999999,0,0,0,0,0,0,0.42999999999999999,0,0,0,0.87,0.57999999999999996,0,0,3.04,3.04,0,0,0.57999999999999996,0.57999999999999996,0,2.46,2.3199999999999998,6.5199999999999996,20.579999999999998,0.42999999999999999,27.539999999999999,0,0,0.57999999999999996,0,0,0,0,0.71999999999999997,1.3,0,0,0,0,0,0,0,0,0,0,0.14000000000000001,0.14000000000000001,0,0,0.14000000000000001,1.8799999999999999,0,0,0.14000000000000001,1.74,3.77,1.45,0,0,1.45,0,0,0,0,0,0,0,0.14000000000000001,0,0,0.14000000000000001,0,0,0,0,0,0,0,0,0,0,0,0.28999999999999998,0,0,0,0.87,1.1599999999999999,1.3,100
KF-18,348,0,0,0.14999999999999999,0,0,0,0,0.14999999999999999,0,0.29999999999999999,0,0.60999999999999999,0,0.91000000000000003,0,0.14999999999999999,0,0.14999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,7.3200000000000003,7.3200000000000003,52.289999999999999,4.5700000000000003,16.620000000000001,0,0,0.76000000000000001,0,0,0,0,0,0,0.14999999999999999,0.46000000000000002,1.22,0,0,1.98,1.98,0,0,0.76000000000000001,0.76000000000000001,0.46000000000000002,2.1299999999999999,2.8999999999999999,7.7699999999999996,19.210000000000001,5.0300000000000002,32.009999999999998,0,0.29999999999999999,0.14999999999999999,0,0,0.14999999999999999,0,0.76000000000000001,1.3700000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.46000000000000002,2.1299999999999999,0,0,2.1299999999999999,0,0,0,0,0,0,0,0.46000000000000002,0,0,0.46000000000000002,0,0,0,0,0,0,0,0.14999999999999999,0,0,0.14999999999999999,1.0700000000000001,0,0,0,0,1.0700000000000001,1.52,100
KF-18,353,0,0,0.26000000000000001,0,0,0,0,0.26000000000000001,0,0.78000000000000003,0,0,0.52000000000000002,1.29,0,0,0,0,0,0,0.26000000000000001,0.26000000000000001,0,0,0,0,0,0,0,0,1.55,1.55,13.18,3.3599999999999999,27.129999999999999,0,0,3.3599999999999999,0,0,0,15.25,0,0,12.92,0.78000000000000003,0.26000000000000001,0,0,2.5800000000000001,2.5800000000000001,0,0,0,0,0,0,0.52000000000000002,19.640000000000001,43.149999999999999,3.3599999999999999,66.150000000000006,0,2.0699999999999998,1.29,0,0,0.26000000000000001,0,2.3300000000000001,5.9400000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,100
KF-18,358,0.11,0,0.32000000000000001,0,0,0,0,0.32000000000000001,0,0.32000000000000001,0,0.20999999999999999,0,0.53000000000000003,0,0.11,0,0.11,0.11,0,0,0.11,0,0,0,0,0,0,0,0,5.0899999999999999,5.0899999999999999,65.75,0.53000000000000003,11.66,0,0,1.48,0,0,0,0.20999999999999999,0,0,0.64000000000000001,0.20999999999999999,0.11,0,0,0.84999999999999998,0.84999999999999998,0,0,0.32000000000000001,0.32000000000000001,0.11,3.29,2.4399999999999999,5.8300000000000001,15.380000000000001,0.64000000000000001,21.850000000000001,0,0.64000000000000001,0.11,0,0,0,0,0.20999999999999999,0.94999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.32000000000000001,0,0,0.32000000000000001,0.73999999999999999,3.8199999999999998,0,0,3.8199999999999998,0,0,0,0,0,0,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.20999999999999999,0.11,0,0,0,0.32000000000000001,0.20999999999999999,100
